Bénéficiaires,2015,2016,2017,2018,2019,2020,2021,total
LES DERNIERES NOUVELLES D'ALSACE / Dna.fr,,,,,435030.0,,,435030.0
SCIENCES HUMAINES,,,70377.0,73099.0,73157.0,67994.0,124860.0,409487.0
CORSE MATIN,89259.0,80333.0,72300.0,60548.0,,65670.0,37444.0,405554.0
L'INDEPENDANT,82610.0,,66914.0,68489.0,56664.0,62294.0,67161.0,404132.0
REFORME,54312.0,60103.0,57471.0,57956.0,57210.0,57357.0,56043.0,400452.0
L'EVEIL DE LA HAUTE LOIRE,49701.0,,65138.0,66672.0,63512.0,69823.0,75279.0,390125.0
L'UNION / L'ARDENNAIS,378439.0,,,,,,,378439.0
actu.fr,,,,,,,374969.0,374969.0
LE JOURNAL DU DIMANCHE / JDD.fr,,374756.0,,,,,,374756.0
LE COURRIER CAUCHOIS,36738.0,38662.0,36712.0,36537.0,36530.0,38271.0,147091.0,370541.0
LA NOUVELLE RÉPUBLIQUE DES PYRÉNÉES,,356329.0,,,,,,356329.0
LES DERNIÈRES NOUVELLES D'ALSACE,,343712.0,,,,,,343712.0
LE MESSAGER,27211.0,27017.0,23751.0,201753.0,21253.0,21133.0,20703.0,342821.0
20 MINUTES / 20minutes.fr,,,,,,338737.0,,338737.0
TEMOIGNAGE CHRETIEN,46196.0,51270.0,47780.0,77026.0,37963.0,38111.0,37412.0,335758.0
TELERAMA,101342.0,,,,5284.0,,227099.0,333725.0
L’OBS,,331847.0,,,,,,331847.0
LE REPUBLICAIN LORRAIN / republicain-lorrain.fr,,,,,331716.0,,,331716.0
FAMILLE CHRETIENNE / famillechretienne.fr,,,,,329647.0,,,329647.0
LE HAVRE PRESSE – PROGRES DE FECAMP,,312863.0,,,,,,312863.0
LA VIE / lavie.fr,,311724.0,,,,,,311724.0
CORSE MATIN / corsematin.com,,,,,309885.0,,,309885.0
LE HAVRE LIBRE,308921.0,,,,,,,308921.0
lagazettedescommunes.com,,,307140.0,,,,,307140.0
dossierfamilial.com,,,,,,,305903.0,305903.0
LE HAVRE LIBRE (*),,305744.0,,,,,,305744.0
LA VIE  -  Hebdomadaire chrétien d'actualité,,,,,,,304098.0,304098.0
aefinfo.fr,,,,,,,302487.0,302487.0
larevuedupraticien.fr,,,300999.0,,,,,300999.0
L'OBSERVATEUR,,,60597.0,104501.0,66410.0,68623.0,,300131.0
LUTTE OUVRIERE,39755.0,48174.0,43846.0,42434.0,42176.0,42380.0,40244.0,299009.0
LE HAVRE PRESSE,293580.0,,,,,,,293580.0
LE COURRIER INTERNATIONAL,,,,,290775.0,,,290775.0
LE 1 / le1hebdo.fr,,280808.0,,,,,,280808.0
lafranceagricole.fr,,,268994.0,,,5127.0,,274121.0
L’OPINION,,268120.0,,,,,,268120.0
SINE MENSUEL,32145.0,60303.0,42235.0,33974.0,33780.0,33930.0,26778.0,263145.0
NORD ECLAIR,49071.0,,48580.0,49724.0,38755.0,40008.0,35291.0,261429.0
HAVRE PRESSE - PROGRES DE FECAMP (*),,,260123.0,,,,,260123.0
L’ÉCLAIR PYRENEES,,256757.0,,,,,,256757.0
infochretienne.com,,,,,,,246836.0,246836.0
L'ECO,,,71340.0,73479.0,,52885.0,47849.0,245553.0
HAVRE LIBRE  (*),,,244449.0,,,,,244449.0
LA RÉPUBLIQUE DU CENTRE,,243025.0,,,,,,243025.0
pourleco.com,,,,,,,242804.0,242804.0
acteurspublics.com,,,241494.0,,,,,241494.0
LE MONDE DIPLOMATIQUE / monde-diplomatique.fr,234525.0,,,,,,,234525.0
L'AISNE NOUVELLE,41894.0,,41321.0,42294.0,32964.0,36240.0,39072.0,233785.0
L'AGE DE FAIRE,,50014.0,42252.0,33599.0,32805.0,34215.0,38565.0,231450.0
LIBÉRATION CHAMPAGNE,,231448.0,,,,,,231448.0
LA GAZETTE DE MONTPELLIER,23246.0,21595.0,20195.0,33756.0,75817.0,29135.0,27445.0,231189.0
LA FRANCE AGRICOLE / lafranceagricole.fr,224030.0,,,,,,,224030.0
FRANCE ANTILLES MARTINIQUE - martinique.franceantilles.fr,,,,,,,217091.0,217091.0
LE 1,,,216589.0,,,,,216589.0
FAKIR,12829.0,,18511.0,19535.0,60786.0,46754.0,56214.0,214629.0
MON QUOTIDIEN / monquotidien.fr,,,159796.0,53649.0,,,,213445.0
usbeketrica.com,,,211544.0,,,,,211544.0
science-et-vie.com,,,211200.0,,,,,211200.0
LE RÉPUBLICAIN LORRAIN,,210668.0,,,,,,210668.0
LE BERRY RÉPUBLICAIN,,202475.0,,,,,,202475.0
L’ÉCHO RÉPUBLICAIN,,202441.0,,,,,,202441.0
lerevenu.com,,,,,,,201329.0,201329.0
LA RENAISSANCE,16809.0,16604.0,6854.0,29603.0,8253.0,5496.0,116119.0,199738.0
UN JOUR UNE ACTU / 1jour1actu.com,,,,,,,198787.0,198787.0
LA TRIBUNE / latribune.fr,,,,,,195112.0,,195112.0
L’ALSACE,,192936.0,,,,,,192936.0
L'EXPRESS / express.fr,,,192012.0,,,,,192012.0
AUJOURD'HUI EN France,,,,104369.0,81346.0,,,185715.0
L'ALSACE / Lalsace.fr,,,,,184680.0,,,184680.0
OISE HEBDO,44217.0,33665.0,28813.0,21646.0,18758.0,17519.0,17048.0,181666.0
explicite.info,,,,179748.0,,,,179748.0
THE INTERNATIONAL NEW YORK TIMES (**),,,175633.0,,,,,175633.0
STRATEGIES / strategies.fr,,,,,,,174301.0,174301.0
CAUSETTE / causette.fr,172567.0,,,,,,,172567.0
L'ABEILLE DE LA TERNOISE,20524.0,,21824.0,19939.0,76493.0,16651.0,17111.0,172542.0
XXI,30775.0,26431.0,35463.0,25938.0,19343.0,14758.0,15534.0,168242.0
mediacites.fr,,50000.0,,44107.0,66146.0,,,160253.0
futuribles.com,19783.0,,,,,,136683.0,156466.0
LE BIEN PUBLIC / bienpublic.com,,,,,155875.0,,,155875.0
NICE-MATIN,,155744.0,,,,,,155744.0
LA DECROISSANCE,18772.0,25621.0,21419.0,16627.0,22124.0,23528.0,25189.0,153280.0
"brief.me, brief.eco",,,,,152513.0,,,152513.0
worldcrunch.com,,,,,,,149999.0,149999.0
FRANCE ANTILLES GUADELOUPE - guadeloupe.franceantilles.fr,,,,,,,149865.0,149865.0
leparticulier.fr,149837.0,,,,,,,149837.0
UN JOUR UNE ACTU,,,,,,148769.0,,148769.0
WE DEMAIN,,,8608.0,9993.0,9434.0,10486.0,109180.0,147701.0
VOSGES MATIN / vosgesmatin.fr,,,,,147191.0,,,147191.0
en-attendant-nadeau.fr,,,,40000.0,,78730.0,28151.0,146881.0
lequotidiendelart.com,,,,132795.0,13757.0,,,146552.0
CENTRE PRESSE VIENNE,46752.0,,37869.0,31713.0,30211.0,,,146545.0
limprevu.fr,,50000.0,95612.0,,,,,145612.0
brief.me,,50000.0,94671.0,,,,,144671.0
apmnews.com / Apmhealtheurope.com,,,,,143989.0,,,143989.0
rollingstone.fr,,87348.0,54763.0,,,,,142111.0
LES NOUVELLES CALEDONIENNES / Lnc.nc,,,,,140721.0,,,140721.0
LE PELICAN,37463.0,31526.0,28373.0,23761.0,18520.0,,,139643.0
lejournaldesentreprises.com,,137819.0,,,,,,137819.0
LE PAYS ROANNAIS,,,30629.0,28720.0,26847.0,25904.0,25023.0,137123.0
l'EST ECLAIR,,,135077.0,,,,,135077.0
switchonpaper.com,,,,,50000.0,84719.0,,134719.0
L’UNION / L'ARDENNAIS,,132098.0,,,,,,132098.0
VAR-MATIN,,131063.0,,,,,,131063.0
lesjours.fr,,50000.0,80547.0,,,,,130547.0
premiere.fr,,,129569.0,,,,,129569.0
ROLLING STONE / rollingstone.fr,72026.0,,,,,54589.0,,126615.0
L'INDEPENDANT DU PAS DE CALAIS,29498.0,,20545.0,20172.0,17854.0,18073.0,17909.0,124051.0
L’EST-ÉCLAIR,,122797.0,,,,,,122797.0
latribune.fr,,,122513.0,,,,,122513.0
LE JOURNAL DE GIEN,19344.0,19374.0,17326.0,16430.0,16040.0,15850.0,17840.0,122204.0
LYON MAG / lyonmag.com,,,,,,,121438.0,121438.0
MANIERE DE VOIR,26010.0,32368.0,32299.0,30542.0,,,,121219.0
CAUSEUR MAGAZINE,22009.0,,,27026.0,23716.0,22723.0,23133.0,118607.0
L'HOMME NOUVEAU,21153.0,22229.0,,19539.0,20050.0,18262.0,16906.0,118139.0
legrandcontinent.eu,,,,,50000.0,,65934.0,115934.0
20 MINUTES,,115691.0,,,,,,115691.0
MANIERE DE VOIR - LE MONDE DIPLOMATIQUE,,,,,,114745.0,,114745.0
L'ECHO DU BERRY,14173.0,13402.0,12697.0,33775.0,12400.0,12633.0,13675.0,112755.0
THE INTERNATIONAL NEW YORK TIMES,111914.0,,,,,,,111914.0
docteurimago.fr,,,,,,,109540.0,109540.0
voxeurop.eu,,,,40000.0,67727.0,,,107727.0
tetu.com,,,,104077.0,,,,104077.0
entraid.com,,,104046.0,,,,,104046.0
LA SEMAINE DE L'ALLIER,14796.0,13628.0,12935.0,33308.0,10705.0,7329.0,7840.0,100541.0
leshorizons.net,,,,,50000.0,4872.0,42728.0,97600.0
CHUT MAGAZINE / chut.media,,,,,,97100.0,,97100.0
LE PETIT JOURNAL TARN ET GARONNE,,,46902.0,49895.0,,,,96797.0
reussir.fr,,,,,96082.0,,,96082.0
newsassurancespro.com,26456.0,,,26378.0,,,42786.0,95620.0
zoolemag.com,,,,,,,94236.0,94236.0
LA SEMAINE DANS LE BOULONNAIS,16411.0,15083.0,13976.0,13110.0,11725.0,11721.0,12071.0,94097.0
ECO SAVOIE MONT BLANC (EDITION 73 & 74),,,,,93688.0,,,93688.0
L’YONNE RÉPUBLICAINE,,92263.0,,,,,,92263.0
