Bénéficiaires,2015,2016,2017,2018,2019,2020,2021,total
biofil.fr,,,,,22788.0,,,22788.0
LA TRIBUNE REPUBLICAINE,3936.0,,3671.0,3654.0,3653.0,3827.0,4045.0,22786.0
LE REPUBLICAIN D'UZES ET DU GARD,3830.0,,3671.0,3654.0,3653.0,3827.0,4045.0,22680.0
aleteia.org,,,22583.0,,,,,22583.0
LE JOURNAL DU PAYS D'AUGE / lepaysdauge.fr,,22546.0,,,,,,22546.0
HAUTE PROVENCE INFO,3674.0,,3671.0,3654.0,3653.0,3827.0,4045.0,22524.0
LA RENAISSANCE DU LOIR ET CHER,,,4381.0,4303.0,4353.0,4584.0,4715.0,22336.0
1538mediterranee.com,,,,,22200.0,,,22200.0
MOUVEMENT UP,,,,,,10470.0,11596.0,22066.0
L'ECHO D'ANCENIS ET DU VIGNOBLE / actu.fr/l-echo-d-ancenis,,,,,,21992.0,,21992.0
L'ECHO ENTREPRENDRE,,,,21853.0,,,,21853.0
L’ABEILLE DE LA TERNOISE,,21821.0,,,,,,21821.0
journalzibeline.fr,,11688.0,,,10127.0,,,21815.0
LE PETIT COURRIER - L'ECHO DE LA VALLEE DU LOIR,,,4125.0,4317.0,4475.0,4684.0,4092.0,21693.0
coeursdathletes.fr,,,21566.0,,,,,21566.0
app'preventionbtp,,21343.0,,,,,,21343.0
LE PERCHE,7967.0,,6553.0,6819.0,,,,21339.0
LES DOSSIERS DE L’ACTUALITE,,21190.0,,,,,,21190.0
LE JOURNAL DU PAYS YONNAIS,3371.0,2907.0,3235.0,2823.0,2707.0,2881.0,3266.0,21190.0
terre.net.fr,,,,21127.0,,,,21127.0
LE REVEIL - Vivarais-Vallée du Rhône-Pilat,,,,,10818.0,,10293.0,21111.0
HOMME NOUVEAU,,,21101.0,,,,,21101.0
LE PERCHE / le-perche.fr,,21095.0,,,,,,21095.0
jle.com,,,,21084.0,,,,21084.0
blonde.media,,,,,,21000.0,,21000.0
LE REVEIL / lereveildeneufchatel.fr,,20875.0,,,,,,20875.0
TAHITI PACIFIQUE,,,,,,0.0,20856.0,20856.0
FRANCE ANTILLES MARTINIQUE / martinique.franceantilles.fr,,,,,,20838.0,,20838.0
SANS TRANSITION ! / sans-transition-magazine.info,,,,,,20784.0,,20784.0
wikiagri.fr,,,20669.0,,,,,20669.0
PAYSANS DE LA LOIRE,,,,4993.0,4875.0,5108.0,5588.0,20564.0
LA MARNE / journallamarne.fr,,20479.0,,,,,,20479.0
FAKIR / fakirpresse.info,,20465.0,,,,,,20465.0
LE JOURNAL DE VITRE / lejournaldevitre.fr,,20421.0,,,,,,20421.0
TERRA ECO,20242.0,,,,,,,20242.0
jamag.fr,,,,,20158.0,,,20158.0
hiphopcorner.fr,,20000.0,,,,,,20000.0
legobelinduternois.com,,,,,,20000.0,,20000.0
LE TRAVAILLEUR CATALAN,,,4075.0,4010.0,3985.0,3827.0,4045.0,19942.0
tourmag.com,,,,,,,19905.0,19905.0
LE JOURNAL D'ELBEUF,3406.0,2688.0,2749.0,2770.0,2707.0,2881.0,2534.0,19735.0
LE PENTHIEVRE,3966.0,3469.0,,,3919.0,3816.0,4563.0,19733.0
LE COURRIER DE LA MAYENNE / courrierdelamayenne.fr,,,,,,,19703.0,19703.0
LE PETIT BLEU DES COTES D'ARMOR,5803.0,,,4578.0,4494.0,,4789.0,19664.0
LE JOURNAL TOULOUSAIN,3674.0,4252.0,4151.0,3654.0,3653.0,,,19384.0
IPAR EUSKAL HERRIKO HITZA,,,3781.0,3654.0,3653.0,3902.0,4192.0,19182.0
mouvement.net,,,,,,,19168.0,19168.0
LE BIEN COMMUN,,,,,,8533.0,10616.0,19149.0
LE COURRIER DES YVELINES - SAINT GERMAIN,,,2509.0,2571.0,2707.0,5438.0,5923.0,19148.0
LE BULLETIN DE L'ARRONDISSEMENT DE ROUEN,3674.0,2297.0,2416.0,2571.0,2707.0,2881.0,2534.0,19080.0
L'EVEIL DE LISIEUX,3197.0,2448.0,2728.0,2571.0,2707.0,2881.0,2534.0,19066.0
LA SEMAINE DU PAYS BASQUE,4208.0,3866.0,3671.0,3654.0,3653.0,,,19052.0
rsf.org,19042.0,,,,,,,19042.0
ECLAIREUR DU GATINAIS ET DU CENTRE,,,,,,,19037.0,19037.0
L'IMPARTIAL DE LA DROME,3940.0,3866.0,3671.0,3654.0,,3827.0,,18958.0
REVUE PROJET,,,,2717.0,16190.0,,,18907.0
LES NOUVELLES DE FALAISE,2975.0,2446.0,2620.0,2571.0,2707.0,2881.0,2639.0,18839.0
TOUTES LES NOUVELLES - VERSAILLES ET SA REGION,,,,,,18735.0,,18735.0
L'ESSOR SAVOYARD,,,9534.0,9164.0,,,,18698.0
Les Dossiers de l'actualité (nouveau titre : CROIX CAMPUS),,,,,18656.0,,,18656.0
L’AVENIR DE L'ARTOIS,,18632.0,,,,,,18632.0
LOZERE NOUVELLE,,9886.0,8701.0,,,,,18587.0
fildp.fr,,3042.0,,,15345.0,,,18387.0
TERRE DAUPHINOISE,,,,4388.0,4602.0,4481.0,4687.0,18158.0
Le Betteravier français / Lebetteravier.fr,,,,,18117.0,,,18117.0
legeneraliste.fr,,,11753.0,,,,6300.0,18053.0
UP LE MAG QUI INSPIRE LE QUOTIDIEN,,,,8717.0,9330.0,,,18047.0
quotidien-libre.fr,,,18000.0,,,,,18000.0
PAYS,,,,,,,18000.0,18000.0
LOIRE ATLANTIQUE AGRICOLE / loire-atlantique-agricole.fr,,,,,,,17905.0,17905.0
L'IMPARTIAL DE LA DROME / limpartial.fr,,,,,17733.0,,,17733.0
LA VIE CHARENTAISE,,,,4349.0,4309.0,4507.0,4502.0,17667.0
LE JOURNAL DU PAYS BRIARD / lepaysbriard.fr,,17568.0,,,,,,17568.0
LA GAZETTE DE LA HAUTE LOIRE,4998.0,4744.0,4018.0,3722.0,,,,17482.0
TOUTES LES NOUVELLES - Versailles et sa région,,,,,,,17426.0,17426.0
L'ACTU / lactu.fr,,,,,17409.0,,,17409.0
ville-rail-transports.com,,17379.0,,,,,,17379.0
LE DEMOCRATE DE L'AISNE,,,,4093.0,4144.0,4403.0,4590.0,17230.0
LA TERRE DE CHEZ NOUS,,,,3654.0,3653.0,4866.0,5041.0,17214.0
Revue-experts.com,17208.0,,,,,,,17208.0
LE CHEF,,,,17145.0,,,,17145.0
LA GAZETTE DU VAL D'OISE / gazettevaldoise.fr,,17091.0,,,,,,17091.0
LE COURRIER DES YVELINES / courrierdesyvelines.fr,,17083.0,,,,,,17083.0
LE REVEIL - Vivarais,17008.0,,,,,,,17008.0
miroirsocial.com,,,,17007.0,,,,17007.0
makery.info,16958.0,,,,,,,16958.0
business-digest.eu,,,,,,16903.0,,16903.0
LES NOUVELLES - L'Echo Fléchois,6474.0,,,,5355.0,,4989.0,16818.0
EURE INFOS,4087.0,,,3431.0,3215.0,2998.0,3043.0,16774.0
Finance-gestion.com,,,,,16723.0,,,16723.0
L'INFORMATEUR,,,5593.0,5528.0,5502.0,,,16623.0
LE REGIONAL DE COSNE,5683.0,5784.0,5081.0,,,,,16548.0
LES NOUVELLES L'ECHO FLECHOIS,,5289.0,5385.0,5448.0,,,,16122.0
LE REPUBLICAIN ESSONNE,,,4558.0,4078.0,3653.0,3827.0,,16116.0
lepetitreporterdu73.com,,,,,,,16000.0,16000.0
L'ECLAIREUR DU GATINAIS ET DU CENTRE     -     Le mag,,,,,15874.0,,,15874.0
L'AGEFI ACTIFS,,,,15805.0,,,,15805.0
education.newstank.fr,,,,11104.0,4694.0,,,15798.0
football.newstank.eu,,,,11104.0,4694.0,,,15798.0
hebdodesag.fr (newsletter),,,,,,,15635.0,15635.0
INDEPENDANT DU PAS DE CALAIS,,15625.0,,,,,,15625.0
LE REVEIL -  Vivarais-Vallée du Rhône-Pilat,,15591.0,,,,,,15591.0
LES ALPES MANCELLES,2440.0,,2416.0,2571.0,2707.0,2881.0,2534.0,15549.0
ROLLING STONE,,,,15483.0,,,,15483.0
journaldesinfirmiers.fr,,,,,,,15273.0,15273.0
L'ESSOR AFFICHES DE LA LOIRE,,15209.0,,,,,,15209.0
L'HEBDO DU FINISTERE,2440.0,2190.0,2416.0,2571.0,2707.0,2881.0,,15205.0
L'ECHO SARTHOIS,2440.0,2190.0,2416.0,2571.0,2707.0,2881.0,,15205.0
LE JTT - JOURNAL TOURNON TAIN,,,,3654.0,3653.0,3827.0,4045.0,15179.0
JOURNAL DE HAM,,,,3654.0,3653.0,3827.0,4045.0,15179.0
Sans-transition-magazine.info,,15161.0,,,,,,15161.0
Information-dentaire.fr,,15149.0,,,,,,15149.0
montélimar-news.fr,,15000.0,,,,,,15000.0
L'HEBDO DES SAVOIE,3674.0,3866.0,3671.0,,3653.0,,,14864.0
L'ECHO DE LA PRESQU'ILE GUERANDAISE ET DE ST-NAZAIRE,14835.0,,,,,,,14835.0
LE MENSUEL DE RENNES,,,2891.0,2825.0,2831.0,2913.0,3367.0,14827.0
L'AVENIR LE CONFOLENTAIS,,,3671.0,3654.0,3653.0,3827.0,,14805.0
L'ECLAIREUR LA DEPECHE,,,,3645.0,3582.0,3572.0,3962.0,14761.0
LA REVUE DU PRATICIEN/ larevuedupraticien.fr,14654.0,,,,,,,14654.0
LE JOURNAL DU BUGEY,3674.0,,3671.0,3654.0,3653.0,,,14652.0
LA LIBERTE - Le Bonhomme libre,14611.0,,,,,,,14611.0
linfodurable.fr,,,,,14605.0,,,14605.0
cotetoulouse.fr,,14592.0,,,,,,14592.0
normandie-actu.fr,,14592.0,,,,,,14592.0
"Paysan Breton, Paysan-breton.fr",,,,,14520.0,,,14520.0
L'AVENIR DE L'ARTOIS - Toutes éditions,,,,,,,14384.0,14384.0
Le Ravi / Leravi.org,,,,,14169.0,,,14169.0
LIBERTE DIMANCHE DE ROUEN,12264.0,,,1854.0,,,,14118.0
L'ESSOR AFFICHES / ESSOR DE L'ISERE / ESSOR DU RHONE,14107.0,,,,,,,14107.0
CHARLES,2608.0,3501.0,3811.0,3893.0,,,,13813.0
espaceinfirmier.fr,,,13805.0,,,,,13805.0
editionscdp.fr,,,13805.0,,,,,13805.0
directmatin.fr,13770.0,,,,,,,13770.0
NORMANDIE LIBERTE DIMANCHE,,,13741.0,,,,,13741.0
LA REPUBLIQUE DE SEINE ET MARNE - Toutes éditions,,,,,,,13711.0,13711.0
VIENNE RURALE,,,,4730.0,4376.0,4589.0,,13695.0
L’INDICATEUR DES FLANDRES,,13403.0,,,,,,13403.0
lesfrancais.press,,,,,,13284.0,,13284.0
LE BETTERAVIER Français / lebetteravier.fr,,,,,,,13275.0,13275.0
LE BONHOMME PICARD - Toutes éditions,,,,,,,13269.0,13269.0
INDICATEUR DES FLANDRES ET DE LA VALLEE DE LA LYS,,,,,,,13259.0,13259.0
LA HAUTE GIRONDE,6600.0,6528.0,,,,,,13128.0
L’ECHO DE LA LYS,,13084.0,,,,,,13084.0
newstankdigital.fr,,,,12954.0,,,,12954.0
LA VOIX DU MIDI – toutes éditions,,12927.0,,,,,,12927.0
L'ACTION FRANCAISE 2000,3882.0,4661.0,4286.0,,,,,12829.0
LA QUINZAINE LITTERAIRE,12658.0,,,,,,,12658.0
TOUTES LES NOUVELLES,,3947.0,4293.0,4366.0,,,,12606.0
AGRI 53 / agri53.fr,,,,,,12443.0,,12443.0
HEBDO DES SAVOIE,,,,3654.0,,3827.0,4945.0,12426.0
L'INFORMATEUR - Eu-Le Tréport-Mers,6631.0,,,,,,5676.0,12307.0
L'ECHO DE LA PRESQU'ILE GUERANDAISE,,12306.0,,,,,,12306.0
L'ACTU,,3330.0,3071.0,,,2985.0,2876.0,12262.0
CLARA MAGAZINE,,2560.0,2353.0,2529.0,2471.0,2301.0,,12214.0
LE REGIONAL,,,6434.0,5771.0,,,,12205.0
madeinperpignan.com,,,12000.0,,,,,12000.0
LE PEUPLE BRETON - POBL VREIZH,,,,2825.0,2831.0,2913.0,3367.0,11936.0
LA DEPECHE - Evreux  -  Louviers - Verneuil,11903.0,,,,,,,11903.0
ROLLING STONE - rollingstone.fr,,,,,,,11861.0,11861.0
LA LIBERTE LE BONHOMME LIBRE,,,11801.0,,,,,11801.0
LE REVEIL Vivarais-Vallée du Rhône-Pilat,,,,11795.0,,,,11795.0
LIBERTE      -     Le bonhomme libre,,,,11692.0,,,,11692.0
La Tribune Fonda / Fonda.asso.fr,,,,,11636.0,,,11636.0
L'AMI DU PEUPLE HEBDO / AMI DES FOYERS CHRETIENS,11581.0,,,,,,,11581.0
L’AMI DU PEUPLE HEBDO / L’AMI DES FOYERS CHRETIENS,,11549.0,,,,,,11549.0
DROME HEBDO PEUPLE LIBRE,,,,3654.0,,3827.0,4045.0,11526.0
TERRES ET TERRITOIRES,,,,3654.0,,3827.0,4045.0,11526.0
LES AFFICHES DE GRENOBLE ET DU DAUPHINE,,,,,3653.0,3827.0,4045.0,11525.0
LE MENSUEL DU MORBIHAN,,,2891.0,2825.0,2831.0,2913.0,,11460.0
edimark.fr,,,,,,11458.0,,11458.0
LIBERTE DIMANCHE PARIS NORMANDIE,,11424.0,,,,,,11424.0
SETMANA,4178.0,4313.0,2891.0,,,,,11382.0
ZIBELINE / journalzibeline.fr,,,,,,11375.0,,11375.0
LIBERTE - Le bonhomme libre,,,,,11312.0,,,11312.0
LES DOSSIERS D'ALTERNATIVES ECONOMIQUES,,,,5973.0,5243.0,,,11216.0
L'ECHO CHARITOIS,3674.0,3866.0,3671.0,,,,,11211.0
LE JOURNAL DE HAM,3674.0,3866.0,3671.0,,,,,11211.0
HAUT ANJOU  -  Haut Anjou Actu.fr,,,,,,,11183.0,11183.0
LA CONCORDE,,,,3654.0,3653.0,3827.0,,11134.0
LE NOUVELLISTE,,,,3654.0,3653.0,3827.0,,11134.0
L'ECLAIREUR VIMEU,,3723.0,3705.0,3652.0,,,,11080.0
YA !,,,3671.0,3654.0,3653.0,,,10978.0
LE CRESTOIS,,,3671.0,3654.0,3653.0,,,10978.0
LE REGIONAL - L'hebdo du pays Salonais,,,,,5779.0,,5068.0,10847.0
L'ECLAIREUR CHATEAUBRIAND,,,5339.0,5483.0,,,,10822.0
latribunedelart.com,,,10800.0,,,,,10800.0
LE SILLON,,,,,,,10670.0,10670.0
L'INCORRECT,,,,,,,10593.0,10593.0
SO GOOD,,,,,,,10548.0,10548.0
L'ECLAIREUR - Chateaubriant et sa région,,,,,5366.0,,5150.0,10516.0
LE BULLETIN D'ESPALION,2940.0,3866.0,3671.0,,,,,10477.0
LE REVEIL - VIVARAIS-VALLEE DU RHONE-PILAT,,,,,,10391.0,,10391.0
L'ESSOR SAVOYARD 74 / 73,,10346.0,,,,,,10346.0
mediatico.fr,,,10339.0,,,,,10339.0
LA DEPECHE - Evreux - Louviers - Verneuil,,,10320.0,,,,,10320.0
filfax.com,,,,10281.0,,,,10281.0
L'ESSOR SAVOYARD 73 - L'ESSOR SAVOYARD 74,,,,,,,10189.0,10189.0
FEMMES ICI ET AILLEURS,,,,,,3897.0,6288.0,10185.0
revue-ophtalmologie-française.fr,,,,,,,10173.0,10173.0
TERRAs,,,,,10133.0,,,10133.0
LA HAUTE SAINTONGE,10044.0,,,,,,,10044.0
L'ESSOR SAVOYARD 74 -73,9995.0,,,,,,,9995.0
LES SABLES - VENDEE JOURNAL,,,,,,9992.0,,9992.0
beauxarts.com,,,,,,9909.0,,9909.0
L'EST AGRICOLE ET VITICOLE / est-agricole.com,9901.0,,,,,,,9901.0
L'ACTION REPUBLICAINE,,2190.0,2416.0,2571.0,2707.0,,,9884.0
L'ESSOR SAVOYARD 73 / L'ESSOR SAVOYARD 74,,,,,,9717.0,,9717.0
FRANCE GUYANE / franceguyane.fr,,,,,,9643.0,,9643.0
LA DEPECHE – Evreux – Louviers – Verneuil,,9627.0,,,,,,9627.0
L'ESSOR AFFICHES - Toutes éditions,,,,,,,9622.0,9622.0
Le JOURNAL DU MEDOC,,,,4597.0,,,5001.0,9598.0
LA DEPECHE D'EVREUX - Toutes éditions,,,,,,,9544.0,9544.0
LE JOURNAL DU SUD VIENNE,,,,3654.0,2831.0,2913.0,,9398.0
LA GAZETTE     -     L'hebdo de Thiers et sa région,,,4877.0,4513.0,,,,9390.0
PHR PAYSAN DU HAUT RHIN / phr.fr,9198.0,,,,,,,9198.0
L’INDÉPENDANT DU LOUHANNAIS ET DU JURA,,9178.0,,,,,,9178.0
SILENCE - Ecologie Alternatives Non violence,,,,,9168.0,,,9168.0
L'ESSOR SAVOYARD 73 & 74,,,,,9154.0,,,9154.0
ELEPHANT JUNIOR,,,,,,,9137.0,9137.0
ELEMENTS,,,,,,,9123.0,9123.0
LA VIENNE RURALE,,,5042.0,,,,4045.0,9087.0
information-dentaire.fr,,,,,9019.0,,,9019.0
LE REPUBLICAIN  MARMANDE,,,,8924.0,,,,8924.0
LE REPUBLICAIN - MARMANDE,,,,,,8916.0,,8916.0
SILENCE - ECOLOGIE ALTERNATIVES NON VIOLENCE,,,,,,8858.0,,8858.0
L'OPINION / lopinion.fr,8832.0,,,,,,,8832.0
LIBERTE-HEBDO,,,,,,4779.0,4045.0,8824.0
LE COURRIER LIBERTE,,,4432.0,4345.0,,,,8777.0
L'ECLAIREUR BRAYON,2581.0,2190.0,3974.0,,,,,8745.0
ALTERNATIVES INTERNATIONALES,8706.0,,,,,,,8706.0
LE PETIT COURRIER DU VAL DE LOIR,4766.0,3911.0,,,,,,8677.0
LAVOIX DE L'AIN,,,8647.0,,,,,8647.0
interentreprises.com,,,,,,8452.0,,8452.0
Albert,,,,,,,8352.0,8352.0
LE REPUBLICAIN MARMANDE,,,8329.0,,,,,8329.0
LA GAZETTE - L'hebdo de Thiers et sa région,,,,,4212.0,,4045.0,8257.0
ECO SAVOIE MONT BLANC EDITION 73 / EDITION 74,,,,,,,8090.0,8090.0
ernestmag.fr,,,8000.0,,,,,8000.0
LIBERTE HEBDO,,,,4328.0,3653.0,,,7981.0
lavie.fr,7926.0,,,,,,,7926.0
Lequotidiendupharmacien.fr,,,7882.0,,,,,7882.0
marsactu.fr,,7848.0,,,,,,7848.0
ECO NORD ISERE,,,,,3653.0,4134.0,,7787.0
REPUBLICAIN – Marmande,,7775.0,,,,,,7775.0
YA ! - Ur gazetenn sizhuniek e brezhoneg,3674.0,,,,,,4045.0,7719.0
ECO SAVOIE MONT BLANC (EDITION 73 / EDITION 74),,,,,,7654.0,,7654.0
LA DROME HEBDO,,3866.0,3671.0,,,,,7537.0
LE JOURNAL TOURNON TAIN,3674.0,,3671.0,,,,,7345.0
LA DROME HEBDO PEUPLE LIBRE,3674.0,,,,3653.0,,,7327.0
L'HEBDO     -     Rodez,,,3671.0,3654.0,,,,7325.0
UP LE MAG,,,7252.0,,,,,7252.0
L'ECLAIREUR - Vimeu Trois villes soeurs Vallée de la Bresle,,,,,3481.0,,3687.0,7168.0
L’OBSERVATEUR DE BEAUVAIS,,7143.0,,,,,,7143.0
LE PATRIOTE BEAUJOLAIS,7081.0,,,,,,,7081.0
LE PATRIOTE BEAUJOLAIS – VAL DE SAÔNE,,6783.0,,,,,,6783.0
SILENCE - Ecologie Alternatives Non violente,,,,,,,6687.0,6687.0
LE PERCHE - Orne-Sarthe-Eure et Loir,,,,,6680.0,,,6680.0
UNION ET TERRITOIRES,,,,,,1320.0,5320.0,6640.0
L'EURE INFOS,,3347.0,3272.0,,,,,6619.0
LE PERCHE  -  Orne-Sarthe-Eure et Loir,,,,,,,6565.0,6565.0
LE PERCHE - ORNE-SARTHE-EURE ET LOIR,,,,,,6551.0,,6551.0
toutelaculture.com,,,,,6525.0,,,6525.0
conspiracywatch.info,,,,,,,6429.0,6429.0
LE REVEIL NORMAND - Toutes editions,,,,,,,6407.0,6407.0
LA CROIX DU MIDI / VOIX DU GERS / VILLEFRANCHOIS…,6382.0,,,,,,,6382.0
HEBDI,,,,,,2913.0,3367.0,6280.0
PLACE PUBLIQUE NANTES-SAINT NAZAIRE,,,,,,2913.0,3367.0,6280.0
LE REGIONAL - L'HEBDO DU PAYS SALONAIS,,,,,,6248.0,,6248.0
DEMOCRATE INDEPENDANT,,,6195.0,,,,,6195.0
L'ECHO D'ANCENIS ET DU VIGNOBLE  -  Actu.fr/l-echo-d-ancenis/,,,,,,,6059.0,6059.0
apressi.re,,,,,,6000.0,,6000.0
up-inspirer.fr,,5890.0,,,,,,5890.0
LA GAZETTE -Thiers,5880.0,,,,,,,5880.0
L'ECLAIREUR - Chateaubriant,5784.0,,,,,,,5784.0
LA GAZETTE  -  L'hebdo de Thiers et sa région,,5705.0,,,,,,5705.0
PLACE PUBLIQUE NANTES SAINT NAZAIRE,,,,2825.0,2831.0,,,5656.0
LIBERTE-HEBDO DE LILLE,,5606.0,,,,,,5606.0
L'INFORMATEUR D'EU,,5541.0,,,,,,5541.0
LE JOURNAL DU PAYS GESSIEN,,5538.0,,,,,,5538.0
L'INFORMATEUR - EU-LE TREPORT-MERS,,,,,,5517.0,,5517.0
lepetitjournal.net,,,,,5493.0,,,5493.0
cities.newstank.fr,,,,,5476.0,,,5476.0
rh.newstank.fr,,,,,5476.0,,,5476.0
LE REGIONAL DU PAYS SALONAIS,,5384.0,,,,,,5384.0
LES AFFICHES DE LA HAUTE-SAÔNE,,5384.0,,,,,,5384.0
LE REPUBLICAIN ESSONE,,5366.0,,,,,,5366.0
L'ECLAIREUR - CHATEAUBRIANT ET SA REGION,,,,,,5309.0,,5309.0
rue89Lyon.fr,,,,,,,5306.0,5306.0
LES NOUVELLES - L'ECHO FLECHOIS,,,,,,5295.0,,5295.0
LES PAYSANS DE LA LOIRE,,,5210.0,,,,,5210.0
POHER,,,5193.0,,,,,5193.0
LA REVUE PROJET,,2356.0,2814.0,,,,,5170.0
ACTU NC / actu.nc,,,,,,5167.0,,5167.0
L'ECLAIREUR CHATEAUBRIANT,,5102.0,,,,,,5102.0
VAR INFORMATION,,,,,,,5058.0,5058.0
TOUTES LES NOUVELLES - Versailles,5052.0,,,,,,,5052.0
novastan.org,,,,,,5040.0,,5040.0
LE REGIONAL - Pays Salonais,4978.0,,,,,,,4978.0
L’HEBDO – RODEZ,,4931.0,,,,,,4931.0
KEZAKO MUNDI,,,,,,1579.0,3301.0,4880.0
LA TERRE DAUPHINOISE,,,4879.0,,,,,4879.0
VILLAGE,,,,,,,4857.0,4857.0
aerobuzz.fr,,4851.0,,,,,,4851.0
rfgenealogie.com,,,,,4815.0,,,4815.0
ECHO d'ILE DE FRANCE,,,,,,,4807.0,4807.0
L'ECLAIREUR - Vimeu,4732.0,,,,,,,4732.0
LA DEPECHE DU PAYS DE BRAY,2440.0,2190.0,,,,,,4630.0
LE RENOUVEAU - Haute-Loire,4589.0,,,,,,,4589.0
labecedaire.fr,4548.0,,,,,,,4548.0
LA TRIBUNE DE VIENNE ET DE L'ISERE,4536.0,,,,,,,4536.0
LE PETIT BLEU DES COTES D’ARMOR,,4533.0,,,,,,4533.0
ALTERNATIVE LIBERTAIRE,,,,1500.0,1501.0,1501.0,,4502.0
PETIT BLEU DES COTES D'ARMOR,,,4497.0,,,,,4497.0
FRANCE ANTILLES GUADELOUPE,1031.0,1371.0,791.0,663.0,516.0,,,4372.0
metropolitiques.eu,,,,,4320.0,,,4320.0
LE TRAVAILLEUR  CATALAN,,4317.0,,,,,,4317.0
DEMOCRATE VERNONNAIS,,,4229.0,,,,,4229.0
L'HEBDO DE CHARENTE-MARITIME,,4199.0,,,,,,4199.0
LA VOIX – LE BOCAGE,,4190.0,,,,,,4190.0
TOUTES LES NOUVELLES  - Versailles et sa région,,,,,4145.0,,,4145.0
dechets-infos.com,1215.0,,,2850.0,,,,4065.0
factuel.info,,,,,,4050.0,,4050.0
L'HEBDO,,,,,,,4045.0,4045.0
LA VIE NOUVELLE - Les affiches de Savoie,,,,,,,4045.0,4045.0
L'IMPARTIAL DE LA DROME - et suppléments,,,,,,,4045.0,4045.0
LE REPUBLICAIN ESSONNE - Toutes éditions,,,,,,,4045.0,4045.0
LE REPUBLICAIN D’UZES ET DU GARD,,4031.0,,,,,,4031.0
LA GAZETTE - L'HEBDO DE THIERS ET SA REGION,,,,,,3988.0,,3988.0
lalettredegalilee.fr,,,,3960.0,,,,3960.0
transrural-initiatives.org,,,,3954.0,,,,3954.0
mondafrique.com,3900.0,,,,,,,3900.0
OBJECTIF LANGUEDOC ROUSSILLON,,1000.0,2891.0,,,,,3891.0
LE JOURNAL DE BUGEY,,3866.0,,,,,,3866.0
LA HAUTE PROVENCE INFO,,3866.0,,,,,,3866.0
YA !,,3866.0,,,,,,3866.0
LA TRIBUNE REPUBLICAINE DE BELLEGARDE,,3866.0,,,,,,3866.0
LA SEMAINE METZ-THIONVILLE-MOSELLE,,3866.0,,,,,,3866.0
LE CRESTOIS - JOURNAL DE LA VALLEE,,3866.0,,,,,,3866.0
LE JOURNAL DE TOURNON – TAIN,,3866.0,,,,,,3866.0
VAUCLUSE HEBDO,,3866.0,,,,,,3866.0
PENTHIEVRE,,,3842.0,,,,,3842.0
L'HEBDO - RODEZ,,,,,,3827.0,,3827.0
YA ! - UR GAZETENN SIZHUNIEK E BRESHONEG,,,,,,3827.0,,3827.0
LA VIE NOUVELLE - LES AFFICHES DE SAVOIE,,,,,,3827.0,,3827.0
L'ACTION REPUBLICAINE - Nogent,,,,,,,3807.0,3807.0
L'HEBDO  -  Rodez,3674.0,,,,,,,3674.0
LES NOUVELLES SEMAINE,3674.0,,,,,,,3674.0
L'HEBDO LE COMTADIN,3674.0,,,,,,,3674.0
TERRE DE CHEZ NOUS,,,3671.0,,,,,3671.0
LE JOURNAL DU SUD-VIENNE,,,3671.0,,,,,3671.0
CONCORDE,,,3671.0,,,,,3671.0
LE NOUVELLISTE BOURGANEUF,,,3671.0,,,,,3671.0
L' HEBDO - Rodez,,,,,3653.0,,,3653.0
LA VIE NOUVELLE  - Les affiches de Savoie,,,,,3653.0,,,3653.0
TRIBUNE DE LYON,,,,,3653.0,,,3653.0
L'ECOLOGISTE,,,,3615.0,,0.0,,3615.0
www.journalzibeline.fr,3592.0,,,,,,,3592.0
LE COURRIER DES YVELINES - St Germain,3522.0,,,,,,,3522.0
ZELIUM,,,3518.0,,,,,3518.0
LEPONTIVY JOURNAL,,,,,,,3503.0,3503.0
MUNDI KEZAKO,,,,1500.0,1930.0,,,3430.0
L'ECLAIREUR - VIMEU TROIS VILLES SŒURS VALLEE DE LA BRESLE,,,,,,3399.0,,3399.0
chine-magazine.com,,,3309.0,,,,,3309.0
LE PEUPLE BRETON,,,2891.0,,,,,2891.0
L'ACTION REPUBLICAINE - NOGENT,,,,,,2881.0,,2881.0
HEB'DI,,,,,2831.0,,,2831.0
LA SETMANA,,,,2825.0,,,,2825.0
beauxart.com,,,,,,,2597.0,2597.0
LA VOIX DU MIDI - Toutes éditions,,,,,,,2534.0,2534.0
LA VIE QUERCYNOISE,,,,,,,2534.0,2534.0
VOIX DU CANTAL,,,,,,,2534.0,2534.0
L'HEBDO DU FINISTERE - Toutes éditions,,,,,,,2534.0,2534.0
LE PROGRES SOCIAL,,,,,,0.0,2517.0,2517.0
L'ACTION REPUBLICAINE - Dreux,2440.0,,,,,,,2440.0
loeildelexile.org,,,2433.0,,,,,2433.0
echodumardi.com,,,,,,2424.0,,2424.0
LES ALPES MANCELLES LIBEREES,,2190.0,,,,,,2190.0
L'ECHO LE REGIONAL D'ENGHIEN,,2190.0,,,,,,2190.0
Clara Magazine,,,,,,,2149.0,2149.0
Alternative libertaire,,,,,,,1898.0,1898.0
LA LIBERTE DIMANCHE DE ROUEN,,,1811.0,,,,,1811.0
FRUSTRATION,,,,1716.0,,,,1716.0
RECYCLAGE RECUPERATION / recyclage-recuperation.fr,,,,,,,1575.0,1575.0
LE JOURNAL DE L'INSOUMISSION,,,,,,1501.0,,1501.0
